"cliente","producto_recomendado","descripcion","score"
"e27ceb0a1576648212c4325fdf7d8002","02750605","VACUNO AÃ‘OJO FILETE VITRINA",1476
"53ffb83e85fd51cf1ec2fdef3c78b4fd","05040282","TIPO GRIEGO ESPECIALIDADES",1476
"b51353fcf07cb61280eda45e33679871","05040283","CRISTAL ",1476
"a57938025d714b65612bf2cfde12136d","07131005","PESCADO MENUDO PFE",1476
"32cc820ac27ff143c3ea976f3fe69d34","07141010","LIRIO/BACALADILLA",1476
"af30d404e282749ccd5f5ad0c8e834c7","07144310","LANGOSTINO CRUDO",1476
"26f424b3bba6aaf97952ac599ed39f75","08010911","VARIANTES",1476
"02ff5edaa057b63ea0a0010c5402205c","08032113","COCKTAIL NOBLES",1476
"8b9aa623b654a8be21b316a5fdf41007","08051520","PATATA SAL ONDULADA",1476
"25d259d32a2bc254343715f2e347c518","13953515","TARRITOS MENU TERNERA",1476
